ID    ReferenceType ReferenceID
Ginkgo_mentiensis	NomRef	Ginkgo_mentiensis-ref
Ginkgo_muriselmata	NomRef	Ginkgo_muriselmata-ref
Ginkgo_neimengensis	NomRef	Ginkgo_neimengensis-ref
Ginkgo_obrutschewii	NomRef	Ginkgo_obrutschewii-ref
Ginkgo_oishii	NomRef	Ginkgo_oishii-ref
Ginkgo_orientalis	NomRef	Ginkgo_orientalis-ref
Ginkgo_palmata	NomRef	Ginkgo_palmata-ref
Ginkgo_paradiantoides	NomRef	Ginkgo_paradiantoides-ref
Ginkgo_parasingularis	NomRef	Ginkgo_parasingularis-ref
Ginkgo_parvula	NomRef	Ginkgo_parvula-ref
Ginkgo_permjakensis	NomRef	Ginkgo_permjakensis-ref
Ginkgo_pilifera	NomRef	Ginkgo_pilifera-ref
Ginkgo_pluripartita	NomRef	Ginkgo_pluripartita-ref
Ginkgo_polymorpha	NomRef	Ginkgo_polymorpha-ref
Ginkgo_pusilla	NomRef	Ginkgo_pusilla-ref
Ginkgo_qaidamensis	NomRef	Ginkgo_qaidamensis-ref
Ginkgo_rajmahalensis	NomRef	Ginkgo_rajmahalensis-ref
Ginkgo_resecta	NomRef	Ginkgo_resecta-ref
Ginkgo_samylinae	NomRef	Ginkgo_samylinae-ref
Ginkgo_sertensis	NomRef	Ginkgo_sertensis-ref
Ginkgo_shiguaiensis	NomRef	Ginkgo_shiguaiensis-ref
Ginkgo_sibirica	NomRef	Ginkgo_sibirica-ref
Ginkgo_skottsbergii	NomRef	Ginkgo_skottsbergii-ref
Ginkgo_spitsbergensis	NomRef	Ginkgo_spitsbergensis-ref
Ginkgo_suluktensis	NomRef	Ginkgo_suluktensis-ref
Ginkgo_taochuanensis	NomRef	Ginkgo_taochuanensis-ref
Ginkgo_tapkensis	NomRef	Ginkgo_tapkensis-ref
Ginkgo_tatjanae	NomRef	Ginkgo_tatjanae-ref
Ginkgo_telemachus	NomRef	Ginkgo_telemachus-ref
Ginkgo_tjukansis	NomRef	Ginkgo_tjukansis-ref
Ginkgo_transsenonica	NomRef	Ginkgo_transsenonica-ref
Ginkgo_tringulata	NomRef	Ginkgo_tringulata-ref
Ginkgo_troedssonii	NomRef	Ginkgo_troedssonii-ref
Ginkgo_truncata	NomRef	Ginkgo_truncata-ref
Ginkgo_tzagajanica	NomRef	Ginkgo_tzagajanica-ref
Ginkgo_vachrameevii	NomRef	Ginkgo_vachrameevii-ref
Ginkgo_verchojanica	NomRef	Ginkgo_verchojanica-ref
Ginkgo_waarensis	NomRef	Ginkgo_waarensis-ref
Ginkgo_waldeckensis	NomRef	Ginkgo_waldeckensis-ref
Ginkgo_whitbiensis	NomRef	Ginkgo_whitbiensis-ref
Ginkgo_wyomingensis	NomRef	Ginkgo_wyomingensis-ref
Ginkgo_xiahuayuanensis	NomRef	Ginkgo_xiahuayuanensis-ref
Ginkgo_yimaensis	NomRef	Ginkgo_yimaensis-ref
Ginkgodium_amgaensis	NomRef	Ginkgodium_amgaensis-ref
Ginkgodium_bifidum	NomRef	Ginkgodium_bifidum-ref
Ginkgodium_glandulosum	NomRef	Ginkgodium_glandulosum-ref
Ginkgodium_nathorstii	NomRef	Ginkgodium_nathorstii-ref
Ginkgodium_nundichii	NomRef	Ginkgodium_nundichii-ref
Ginkgoites_acosmia	NomRef	Ginkgoites_acosmia-ref
Ginkgoites_angusticuneatus	NomRef	Ginkgoites_angusticuneatus-ref
Ginkgoites_balejensis	NomRef	Ginkgoites_balejensis-ref
Ginkgoites_baoshanensis	NomRef	Ginkgoites_baoshanensis-ref
Ginkgoites_borealis	NomRef	Ginkgoites_borealis-ref
Ginkgoites_chowii	NomRef	Ginkgoites_chowii-ref
Ginkgoites_crassinervis	NomRef	Ginkgoites_crassinervis-ref
Ginkgoites_dissectus	NomRef	Ginkgoites_dissectus-ref
Ginkgoites_donetziana	NomRef	Ginkgoites_donetziana-ref
Ginkgoites_dunkeri	NomRef	Ginkgoites_dunkeri-ref
Ginkgoites_elegans	NomRef	Ginkgoites_elegans-ref
Ginkgoites_eximia	NomRef	Ginkgoites_eximia-ref
Ginkgoites_feistmantelii	NomRef	Ginkgoites_feistmantelii-ref
Ginkgoites_feruglioi	NomRef	Ginkgoites_feruglioi-ref
Ginkgoites_fuxinensis	NomRef	Ginkgoites_fuxinensis-ref
Ginkgoites_goiraensis	NomRef	Ginkgoites_goiraensis-ref
Ginkgoites_harrisii	NomRef	Ginkgoites_harrisii-ref
Ginkgoites_huraensis	NomRef	Ginkgoites_huraensis-ref
Ginkgoites_inornatus	NomRef	Ginkgoites_inornatus-ref
