AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Ginkgo_chlonoviae	Chulymo-Eniseyskiy region, Western Siberia, Russia	Text	
Ginkgo_chilinensis	Liaoning, Northeast China?	Text	
Ginkgo_celebris	Ukugutskiy gorizont, Vilyuyskaya sinekliza, basin of the Lena river, Russia	Text	
Ginkgo_capillata	Quarry "Borodinskiy", Rybinsky District, Krasnoyarsk Krai, Russia	Text	
Ginkgo_bonesii	Clarno Formation, John Day Basin, Oregon, USA	Text	
Ginkgo_baieraeformis	Zirab, Iran	Text	
Ginkgo_aviamnica	Birds River, Molteno Subregion, Karoo Basin, Eastern Cape, South Africa	Text	
Ginkgo_australis	Burne's creek, Victoria, Australia	Text	
Ginkgo_asiae-mediae	Kyzylkum Desert, Central Asia	Text	
Ginkgo_apodes	The Yinwoshan Mountain, Toudaohezi; Village of Yixian County, western Liaoning Province, China	Text	
Ginkgo_antarctica	Australia	Text	
Ginkgo_angusticuneata	Lena and Olenek region, basin of the Lena river, Russia	Text	
Ginkgo_ananievii	Kuznetsk Basin, Bojaryshynovo village, Siberia, Russia	Text	
Ginkgo_adiantoides	Senigallia, Italy	Text	
Ginkgo_abaniensis	Abansky District, Krasnoyarsk Krai, Russia	Text	
Eretmophyllum_whitbiense	Cloughton Wyke, Scarborough, Yorkshire, England	Text	
Eretmophyllum_thomasii	Tsintskila-Gele River, Georgia	Text	
Eretmophyllum_tetonense	Hkaido, Japan	Text	
Eretmophyllum_subtilum	Eastern Inner Mongolia	Text	
Eretmophyllum_saighanense	Afghanistan	Text	
Eretmophyllum_pulchellum	Spitzbergen, Norway	Text	
Eretmophyllum_pubescens	Cloughton Wyke, Scarborough, Yorkshire, England	Text	
Eretmophyllum_ovatum	Kuzabas, South-western Siberia, Russia	Text	
Eretmophyllum_obtusum	Nehvizdy, Czech Republic	Text	
Eretmophyllum_neimengguensis	Manshijinyang Coal Mine, Ordos Basin, Inner Mongolia, China	Text	
Eretmophyllum_magnum	Karatau, Kazakhstan	Text	
Eretmophyllum_lovisatoi	Laconi, Sardinia, Italy	Text	
Eretmophyllum_latum	Eastern Inner Mongolia	Text	
Eretmophyllum_ketoviae	Gissar Mountains, Uzbekistan	Text	
Eretmophyllum_harrisii	The bed of the Kizildaria River, Yakkabag Mountain, Yakkabag, south of Samarkand, southwestern spurs of the Hissar (Gissar) Mountains, Uzbekistan	Text	
Eretmophyllum_grybkovii	Kalendy-Tanynbay, Eastern Mangyshlak Peninsula, Kazakhstan	Text	
Eretmophyllum_glandulosum	Aldan River, Bureia Basin, Siberia, Russia	Text	
Eretmophyllum_boroldaicum	Karatau, Kazakhstan	Text	
Eretmophyllum_baikonuricum	Baikonur, Kazakhstan	Text	
Eretmophyllum_andegavense	‘Argiles du Baugeois’, north of Angers, France	Text	
Arberophyllum_spetsbergense	Horsunn Bay, Spitsbergen, Norway	Text	
Arberophyllum_spathulatum	Eastern Taimyr, coast of Tsvetkov Cape, Russia	Text	
Arberophyllum_shensiense	Yengchang Formation, N. Shensi, China	Text	
Arberophyllum_oblanceolatum	South Fergana, vicinity of the village of Madygen, Russia	Text	
Arberophyllum_florinii	Lunz, Austria	Text	
Arberophyllum_ereminae	South Fergana, vicinity of the village of Madygen, Russia	Text	
Arberophyllum_claviforme	left bank of theN. Tunguska River, 25 km lower its confluence with the Taimura River, Russia	Text	
Arberophyllum_baschkiricum	Sourakai, Bachkirie, Russia	Text	
Arberophyllum_angustifolium	Donetsk Region, village of Nikolaevka, Dubovaya Gully, Ukraine	Text	
Ginkgo_marginata_marginata	Hälsingborg, Sweden	Text	
Ginkgo_marginata_banatica	Anina, Banat region, Romania	Text	
Ginkgo_baieraeformis_banaticus	Anina, Banat region, Romania	Text	
Ginkgo_baieraeformis_baieraeformis	Zirab, Northern Iran	Text	
Ginkgo_skottsbergii	Locality c at Rio Fósiles, near Lago San Martin (Santa Cruz), Argentina	Text	
Ginkgo_sibirica	Creek Ust-Baley, Irkutsk, Russia	Text	
Ginkgo_yimaensis	Yima formation of Henan province, China	Text	
Ginkgodium_amgaensis	Aldan River area, tributary of the Lena River, Russia	Text	
Ginkgodium_bifidum	Potrerillos Schichten, Cacheudo, Mendoza, Argentina	Text	
Ginkgodium_glandulosum	Left bank of the river Aldana, tributary of the Lena River, Russia	Text	
Ginkgodium_nathorstii	Shimamura, Yanagidani, Okamidgo, Japan	Text	
Ginkgodium_nundichii	The Rio Numí coastline, on the south-west part of Santiago Nundiche, Tlaxiaco, Oaxaca, Mexico	Text	
Ginkgoites_acosmia	Scoresby Sound, east Greenland	Text	
Ginkgoites_angusticuneatus	Left bank of Lena river, 2,9 km upper than Kigilyach river "river mouth", Russia	Text	
Ginkgoites_balejensis	Irkutsk coal basin, Russia	Text	
Ginkgoites_baoshanensis	Shuangyashan, Heilongjiang Province, China	Text	
Ginkgoites_borealis	Qaidam Basin, Qinghai Province, western China	Text	
Ginkgoites_chowii	Yanchang (Yenchang) County, Shaanxi Province, China	Text	
Ginkgoites_crassinervis	Sha-ho-tzu, Changtu county, Liaoning province, China	Text	
Ginkgoites_dissectus	Left bank of Bureja river, lower than Adnikan river "river mouth", Russia	Text	
Ginkgoites_donetziana	? Donets Black Coal Basin, Ukraine	Text	
Ginkgoites_dunkeri	Kleine Tongrube des Hils-Tonwerkes Hamann & Co	Text	
Ginkgoites_elegans	Shuang-Yashan, Heilongjiang Province, China	Text	
Ginkgoites_eximia	Río Genoa Formstion, Chubut, Argentina	Text	
Ginkgoites_feistmantelii	Machrar river, Marwar, India	Text	
Ginkgoites_feruglioi	Río Genoa Formstion, Chubut, Argentina	Text	
Ginkgoites_fuxinensis	Fuxin Basin, Liaoning province, China	Text	
Ginkgoites_goiraensis	Bardahighat on Kamrai Stream, north-east of Goira Village, Shahdol District, Madhya Pradesh, India	Text	
Ginkgoites_harrisii	River Tyl', Uda Gulf, Russia	Text	
Ginkgoites_huraensis	Rajmahal Basin, India	Text	
Ginkgoites_insperata	River Tyl', Uda Gulf, Russia	Text	
Ginkgoites_ipsviciensis	Queensland, Australia	Text	
Ginkgoites_jampolensis	Right bank of Zeya river, Russia	Text	
Ginkgoites_kazachstanicus	Orskiy Coal Basin, Western Kazakhstan	Text	
Ginkgoites_khorassanicus	Ferizi, Iran	Text	
Ginkgoites_koraiensis	Sichote-Alin', Far East, Russia	Text	
Ginkgoites_krassilovii	River Tyl', Uda Gulf, Russia	Text	
Ginkgoites_lodevensis	Autun Basin, France	Text	
Ginkgoites_longilobatus	Right bank of Urgal river Zei, 4 km from village Novo-Yampol', Russian Far East, Russia	Text	
Ginkgoites_longipilosus	Left bank of Bureja river, lower than Adnikan river "river mouth", Russia	Text	
Ginkgoites_lunzensis	Lunz am See, Lower Austria, Austria	Text	
Ginkgoites_magnifolia	Kaochiaan, Shensi, China	Text	
Ginkgoites_martenensis	Autun Basin, Frace	Text	
Ginkgoites_microphyllus	Shuangyashan, Heilongjiang Province, China	Text	
Ginkgoites_milfordensis	Smith Clark's quarry, Hunterdon County, New Jersey, USA	Text	
Ginkgoites_mongolensis	Shin-Khuduk Formation, eastern Gobi desert, Mongolia	Text	
Ginkgoites_myrioneurus	Jixi, Heilongjiang Province, North-east China	Text	
Ginkgoites_occidentalis	Teresvinsk Formation, Solotvin, Transcarpathia, Ukraine	Text	
Ginkgoites_orientalis	Huo-shih-ling, Province Chihlin, Taiwan	Text	
Ginkgoites_papilionaceus	Yangcaogou Formation of western Liaoning, China	Text	
